Earth Observing Sensor Development for Geostationary Orbit,Kenneth Lian,,Phase I,Irvine Sensors Corp,49544,,MSFC
X-Ray Analysis of Materials Degradation in Space,Ed Lebaker,,Phase I,Advanced Research & Applications Corp,50000,,HQ
Quantum-Well Cloud Sensor,June Hoffman,,Phase I,Space Instruments Inc,49943,,GSFC
Embeddable Distributed Moisture Sensor for Nondestructive Inspection of Aircraft Lap Joints,Patty Shaw,,Phase II,Physical Optics Corporation Applied Technology Division,555319,,LaRC
Instrument for In Situ Particle-Size Measurement of Aerosols in Microgravity,Donald Holve,,Phase II,Insitec Inc,499988,,ARC
Low-Cost Compact Non-Explosive Pin Puller for Aerospace Applications,Eric Strauss,,Phase II,TiNi Alloy Co,344662,,GRC
Cooled Porous-Ceramic Vane for High-Temperature Turbine Engine Components,Craig Ward,,Phase II,Ultramet,500000,,GRC
Advanced Composite Combustion Chambers,Craig Ward,,Phase II,Ultramet,499000,,JSC
Solid-State Optically Amplified Receiver for Space Communications,Todd Olson,,Phase II,Lightwave Electronics Corp,418011,,GSFC
Carbon-Fiber Brush Heat Exchanger,Timothy Knowles,,Phase II,Energy Science Laboratories Inc.,499800,,JSC
A Knowledge-Based System for Analyzing Technical Data,Marnix F.E. Dillenius,,Phase II,Nielsen Engineering & Research Inc.,414674,,LaRC
Thermally Stable Large-Aperture High-Resolution Optics,James Stumm,,Phase II,ATK Space Systems Inc,483521,,MSFC
Non-Destructive Evaluation of Liners Insulators and Propellants of Solid Rocket Motors,Drusilla Thorson,,Phase II,Quantum Magnetics Inc,486262,,MSFC
Thick-Film Metallization for High-Temperature Graphite Furnaces,Andrew Intrater,,Phase II,Oryx Technology Corp,500000,,GSFC
Flexible Artificial Intelligence Test-Bed,James Slater,,Phase II,Nomadic Technologies Inc,499500,,JSC
Master-Oscillator-Power-Amplifier Diode-Laser Module for One Watt 860 Nanometers and 300 Megabits-per-Second,John Melton,,Phase II,Spectra Diode Laboratories Inc,478290,,GSFC
Visible Laser Diodes Operating from 0.45 to 0.7 Microns,John Melton,,Phase II,Spectra Diode Laboratories Inc,479632,,GSFC
High-Power Visible Semiconductor Diode Lasers for Solid-State Laser Pumping,John Melton,,Phase II,Spectra Diode Laboratories Inc,525370,,LaRC
Facultative Hypergolic-Ignition Internal Combustion Engine,Alvin Lowi,,Phase II,Lion Engineering Inc,499756,,ARC
Intelligent Spacecraft Guidance and Control,Ching-Fang Lin,,Phase II,American GNC Corporation,498308,,JPL
Robotic Whole-Body Dexterity and a Software Architecture for Robotic Task Performance in Uncontrolled Environments,Rebecca Schmitt,,Phase II,Robotics Research Harvesting,498352,,JSC
A Compact Space-Qualified 2.5 Terahertz Local Oscillator for the Study of Ozone Chemistry,W. A. Peebles,,Phase II,Innovative Research & Technology,499908,,JPL
Multi-Sensory Optical-Feature-Extraction Neural Associative Retriever for Space and Commercial Applications,William Davis,,Phase II,Standard International Inc,499737,,JPL
Discretization Algorithm for Computational Fluid Dynamics,Marnix F.E. Dillenius,,Phase II,Nielsen Engineering & Research Inc.,350000,,ARC
Quantum Well Cloud Sensor,June Hoffman,,Phase II,Space Instruments Inc,528803,,GSFC
High-Temperature-Superconductor Yttria-Stabilized Zirconia Membrane Bolometer,Linda Capuano,,Phase II,Conductus Inc,497560,,GSFC
Finite Element Analysis of Inflatable Antennas,Roger Garrett,,Phase II,L'Garde Inc.,419506,,JPL
Spectroscopic Imaging Sensor Using Parallel Pixel Filtering Techniques,Patty Shaw,,Phase II,Physical Optics Corporation Applied Technology Division,499956,,MSFC
Low-Noise Signal-Processing Integrated Circuit,Kenn Lian,,Phase II,Irvine Sensors Corp,488038,,MSFC
Oxidation-Resistant Coating of Diboride Composite Thermal Protection System,Craig Ward,,Phase II,Ultramet,499696,,ARC
Low-Noise Fiber-Optic Gyro for Inertial Applications,Ira Jeffrey Bush,,Phase II,Optiphase Inc,495598,,GSFC
Ultra-Efficient Ka-Band Power Monolithic Microwave Integrated-Circuits,James Schellenberg,,Phase II,Schellenberg Assoc,499863,,JSC
Room-Temperature Source of Tunable Coherent 3-6 Micron Radiation,John Melton,,Phase II,Spectra Diode Laboratories Inc,499657,,ARC
Packaging Opto-Electronic Integrated Circuits for Space-Based Applications,James Tyler,,Phase II,Optivision Inc,499560,,GSFC
Integrated Risk Analysis for Schedule and Cost,Max Henrion,,Phase II,Lumina Decision Systems,498486,,KSC
Intensified Imager for Detection of Ultraviolet and Particles,O. Siegmund,,Phase II,Siegmund Scientific,499386,,GSFC
Augmented Penetrating Capability for Reverse Geometry X-ray System,Richard Albert,,Phase II,Digiray Corp,498700,,LaRC
Feasible Path Analysis for Ada Test Case Generation,Richard Jullig,,Phase II,Kestrel Development Corp,475332,,JSC
Graphical Interactive-Control Design and Implementation Environment,David Kulich,,Phase II,Integrated Systems Inc,437337,,LaRC
