In-Flight Flow Velocity Sensor,Olive Lee,,Phase II,Gemfire Corp,499900,,ARC
Software for Multidisciplinary System Optimization,Laurie Eason,,Phase II,Modeling & Computing Services,478000,,LaRC
High-Spatial-Resolution E X B Magnetic Field Probe,Joseph Orens,,Phase II,Berkeley Research Assoc Inc,490453,,GSFC
Large-Area High-Temperature Superconducting Thin Films,Linda Capuano,,Phase II,Conductus Inc,494913,,GRC
An Underwater Remotely Operated Vehicle to Test Enhanced Human Interfaces,Phillip Ballou,,Phase II,Deep Ocean Engineering Inc,497761,,ARC
Ka-Band High-Efficiency Monolithic Microwave Integrated Power Circuit,James Schellenberg,,Phase II,Schellenberg Assoc,494358,,GRC
Quasi-Optical Solid-State Multiplier Sources to 3000 Ghz,W. A. Peebles,,Phase II,Innovative Research & Technology,499826,,JPL
Light-Weight Flexible Thin-Film Solar Cells for Space Applications,Vijay Kapur,,Phase II,International Solar Electric Technology,488408,,GRC
True General-Purpose Biomedical Telemetry System,Eph Konigsberg,,Phase II,Konigsberg Instruments Inc,489329,,KSC
Optical Components and Design Tools for Cryogenic Telescopes,William Morgan,,Phase II,OCA Applied Optics Inc,477466,,JPL
Finite-Element Heat-Transfer Analysis System for Simulation of Flight Vehicles,C. J. Parekh,,Phase II,Engineering Systems Simulation,748050,,ARC
Decision-Theoretic Control of Artificial Intelligence Scheduling Systems,Andrew Mayer,,Phase II,Thinkbank Inc,1982676,,ARC
Time-Warp Concurrency Control for Database Systems,Calvin Buzzell,,Phase II,Integrated Parallel Technology Inc,465186,,JPL
Artificial Intelligence Techniques for Scheduling Shuttle Processing,Andrea Henke,,Phase II,Stottler Henke Associates Inc.,374459,,KSC
Multi-Effect Wiped-Film Rotating-Disk Evaporator,Badawi Tleimat,,Phase II,Water Reuse Technology,125000,,ARC
Aspheric Surface Figuring Using Plasma-Assisted Chemical Etching,Michael Delvin,,Phase II,OCA Applied Optics Inc,473019,,MSFC
Solid-State Laser Oscillator Modulator and Amplifier for Space Communications,James Francis,,Phase II,Lightwave Electronics Corp,405691,,GSFC
Multiple Component Force and Moment Balance for Flow Visualization Water Tunnels,Andrew Skow,,Phase II,Rolling Hills Research Corporation,250000,,ARC
Protective Coatings for Copper Alloys in Reusable LOX-Hydrogen Rocket Engines,Robert Tuffias,,Phase II,Ultramet,448611,,GRC
Improved Solar-Cell Cover Glasses Coated by Low-Pressure Chemical Vapor Deposition,James Brosnan,,Phase II,Deposition Sciences Inc,437421,,GSFC
Fuzzy Cognitive Maps for Mission Planning and Flight Control,James Bechtel,,Phase II,Tacan Corp,489000,,JSC
Compact Rugged Laser-Doppler-Velocimeter Probe for In-Flight Measurement of Gas Turbine Inlet Flow,William Bachalo,,Phase II,Aerometrics Inc,655481,,ARC
High-Power All-Solid-State Laser for Altimetry,James Francis,,Phase II,Lightwave Electronics Corp,496386,,GSFC
Spacecraft On-Board Information Extraction Computer,James Alexiou,,Phase II,Irvine Sensors Corp,489595,,JPL
Fiber-Optic Cable Feedthrough and Sealing,Linda Siu-Ling Fan,,Phase II,Litecom Inc,480751,,GRC
Innovative Model for Reacting Flows,Raul Conti,,Phase II,Hypersonics Inc,832478,,ARC
Mercuric-Iodide-Scintillator Gamma Ray Spectroscopy,David Haedicke,,Phase II,Advanced Detectors Inc,493688,,JPL
An Entrained-Metal Detection System for Rocket Engine Test Stands,David Duncan,,Phase II,Duncan Technologies Inc,498373,,SSC
Real-Time Monitoring of Material Degradation of Fiber Composites,P. C. Riccardella,,Phase II,Structural Integrity Assoc Inc,477279,,GRC
Temperature-Controlled QCM/SAW Instrument for the In-Situ Chemical Identification of Size-Segregated High-Altitude Aerosol Particles,William Bowers,,Phase II,Femtometrics Inc,486113,,LaRC
Multiple Component Force and Moment Balance for Water Tunnel Applications,John Taylor,,Phase I,Rolling Hills Research Corporation,49946,,ARC
3-D Stacked Optical Memory Based On Polarization Holography,Patty Shaw,,Phase I,Physical Optics Corporation Applied Technology Division,49993,,JPL
Space Flight Supercomputer,John Stuart,,Phase I,Irvine Sensors Corp,49756,,GSFC
Novel Higher Temperature Aluminum Alloys By Rapid Consolidation Of Glassy Structures,Ray Anderson,,Phase I,Ceracon Inc,49808,,LaRC
Carbon-Carbon and Refractory-Metal Heat Pipes for Leading-Edge Cooling on Reusable Hypersonic Vehicles,Robert Tuffias,,Phase II,Ultramet,87000,,LaRC
Controlled Nucleation of Protein Crystal Growth,Paul Sclichta,,Phase II,Crystal Research Inc.,415526,,MSFC
Thermostructural Behavior and Feasibility of Using Rotated Ply Stacking for Carbon-Carbon Cloth-Based Nozzle Components,Lynn Sheridan,,Phase II,PDA Engineering,497914,,MSFC
Detector Arrays from Superconducting Films on Diamond,Cynthia Carney Todd,,Phase II,Talandic Research Corp,493261,,GSFC
Aerodynamic Control of Aircraft Using Miniaturized Rotatable Nose-Boom Strakes,Andrew Skow,,Phase II,Rolling Hills Research Corporation,511700,,LaRC
Nonlinear Flow Control in Boundary Layers and Channels,David Nixon,,Phase II,Nielsen Engineering & Research Inc.,467250,,LaRC
Low-Weight Honeycomb Thermal Protection Systems for NASP and other Transatmospheric Spacecraft,Stephen Miller,,Phase II,S.D. Miller & Assoc,499673,,ARC
